title,price,images,rating
"MSI Thin 15 B12UCX|i5-12450H| RTX 2050 4GB| 8GB RAM DDR4 3200Mhz | 512GB NVMe Gen4x4| 15.6"" IPS FHD 144Hz 45% NTSC Display| Blue Backlit Gaming Keyboard| DOS| Cosmos Gray| 2 Years Local Warranty",27999,https://m.media-amazon.com/images/I/51cHVnHx2vL._AC_UL320_.jpg,nan
"HP Victus 16-r0059wm Gaming Laptop - 13th i7-13700H 14-Cores, 16GB DDR5-5200 MHz, 1TB SSD, 16.1"" FHD (1920X1080) 144 Hz IPS, NVIDIA GeForce RTX 4060 8GB GDDR6 Graphics, Win 11 + HyperX Wired Headset",93899,https://m.media-amazon.com/images/I/61FzwmvH0GL._AC_UL320_.jpg,4.6
"MSI Katana 15 B13VGK Intel Core i7-13620H Processor Nvidia RTX 4070 GDDR6 8GB Graphics 16GB DDR5 RAM 512GB NVMe PCIe SSD Gen4x4 Win11 Home Laptop, 15.6-Inch QHD Screen, Black",69999,https://m.media-amazon.com/images/I/51fhybjOMnL._AC_UL320_.jpg,nan
"Lenovo Legion 7 Gaming Laptop, Intel Core i7-11800H, 16"" WQXGA 165Hz, NVIDIA RTX 3070 8GB, 32GB DDR4 RAM, 1TB PCIe 4.0 SSD, Per-Key RGB Keyboard, Wi-Fi 6, Windows 11, Arabic/English - Storm Grey",79900,https://m.media-amazon.com/images/I/51ChRDVmEUL._AC_UL320_.jpg,nan
"DELL G15 5530 Gaming Laptop - 13th Intel Core i5-13450HX, 16GB DDR5-4800 MHz RAM, 512GB SSD, NVIDIA GeForce RTX 3050 6GB GDDR6 Graphics, 15.6"" FHD (1920x1080) 120Hz, 4Z RGB Backlit Keyboard, Ubuntu",45699,https://m.media-amazon.com/images/I/51Iex1kndNL._AC_UL320_.jpg,3.5
"HP OMEN 16-k0033dx Gaming Laptop - 12th Intel Core i9-12900H, 16GB DDR5 RAM, 1TB SSD, 16.1"" QHD (2560x1440) 165 Hz IPS 300 nits, NVIDIA GeForce RTX 3060 6GB GDDR6 Graphics, 4Z RGB backlit, Windows 11",53424,https://m.media-amazon.com/images/I/61-9obcBKJL._AC_UL320_.jpg,3.7
"Apple 2024 MacBook Pro Laptop with M4 Max, 16‑core CPU, 40‑core GPU: Built for Apple Intelligence, 16.2-inch Liquid Retina XDR Display, 48GB Unified Memory, 1TB SSD Storage; Space Black",239999,https://m.media-amazon.com/images/I/61hw7aZWYSL._AC_UL320_.jpg,4.6
"MSI Thin 15 B13UC|i7-13620H| RTX 3050 4GB| 16GB RAM DDR4 3200Mhz | 512GB NVMe Gen4x4| 15.6"" IPS FHD 144Hz 45% NTSC Display| Blue Backlit Gaming Keyboard| DOS| Cosmos Gray| 2 Years Local Warranty",39250,https://m.media-amazon.com/images/I/51+0kdRrlVL._AC_UL320_.jpg,nan
ASUS ROG Strix SCAR 17 G733PY-LL009W AMD Ryzen™ 9 7945HX 32GB DDR5 2TB SSD NVIDIA GeForce RTX 4090 16GB GDDR6 17.3 WQHD (2560 x 1440)240Hz Win 11 Gladius Mouse P514 Gladius Mouse P514,172999,https://m.media-amazon.com/images/I/61CwSaEvRYL._AC_UL320_.jpg,5.0
"HP Victus 15 Gaming Laptop 15.6"" FHD IPS 144Hz, 6-Core AMD Ryzen 5-8645HS up to 5.0 GHz, RTX 4050 6GB GDDR6, Backlit Keyboard, Long Battery Life, 16GB DDR5-5600 MHz, 512GB SSD, Win11",43299,https://m.media-amazon.com/images/I/71k3cuOZSTL._AC_UL320_.jpg,3.7
HP ProBook 450 G10 (816P4EA) Core i7-1355U 10 Cores - 16GB DDR4-1TB SSD - RTX 2050 4GB - 15.6 FHD IPS - Fingerprint - Backlit KYB - DOS,46499,https://m.media-amazon.com/images/I/61nBSp60zOL._AC_UL320_.jpg,5.0
"HP Laptop 15s (15s-fq5048ne), CPU: Core i3-1215U, 4GB DDR4 1DM 3200 Graphics Card: Intel UHD Graphics - UMA, VRAM: Shared, Display: 15.6 FHD SVA 250 nits Narrow Border, 256GB, Windows 11",14499,https://m.media-amazon.com/images/I/61d4ZL2o-ML._AC_UL320_.jpg,3.7
"Hp Victus 15-fa1041ne Gaming Laptop - 13th Intel i5-13500H 12-Cores, 6GB GDDR6 NVIDIA GeForce RTX 3050 Graphics, 8GB RAM, 512GB SSD, 15.6"" FHD (1920x1080) 144Hz IPS, Backlit Keyboard, Performance Blue",39999,https://m.media-amazon.com/images/I/71TN45+oJ0L._AC_UL320_.jpg,4.4
"Hp Victus 15-fa1036ne Gaming Laptop - 13th Intel i5-13500H 12-Cores, 6GB GDDR6 NVIDIA GeForce RTX 4050 Graphics, 16GB RAM, 512GB SSD, 15.6"" FHD (1920x1080) 144 Hz IPS, Backlit Keyboard - Mica Silver",45999,https://m.media-amazon.com/images/I/61r-wfFcTYL._AC_UL320_.jpg,4.4
"DELL G15 5530 Gaming Laptop - 13th Intel Core i7-13650HX 14 Cores, NVIDIA GeForce RTX 4050 6GB GDDR6 Graphics, 16GB DDR5-4800 MHz RAM, 1TB SSD, 15.6"" FHD (1920x1080) 120Hz, Backlit, Windows 11",63699,https://m.media-amazon.com/images/I/61u3yaCd7VL._AC_UL320_.jpg,3.0
"15.6 Inch Laptop Computer, 16GB DDR4 1TB SSD, Quad-Core Celeron N5095 CPU (up to 2.9 GHz), Student/Business Laptop with 1080P FHD Display, 44WH Battery, 2.4/5G WiFi, BT 4.2, Backlit Keyboard (Silver)",25000,https://m.media-amazon.com/images/I/71J+Oof2eSL._AC_UL320_.jpg,4.0
Sponsored Ad – ONKEMA CW917 Professional Gaming Mouse Wired DPI Switchable 1200/1800/2400/3600 - RGB Lighting - Compatible with PC and Laptop - 1.5 m Cable for Easy Movement - Black,650,https://m.media-amazon.com/images/I/71Ltb-OilKL._AC_UL320_.jpg,nan
"Sponsored Ad – Yxk Portable Monitor 15.6 Inch 1080P USB-C HDMI Ultra-Slim Travel Monitor with Kickstand, for Laptop, PC, Mac Phone, PS, Xbox, Swich IPS Ultra-Thin Zero Frame Gaming Monitor",12999,https://m.media-amazon.com/images/I/614w0p9HF4L._AC_UL320_.jpg,4.8
Sponsored Ad – For Forev FV-205 Computer Gaming Speakers - 3W*2 Wired Stereo Mini - 3.5mm Jack + 2.0 USB Powered For Gaming/Movie/Music/PC/Laptop,299,https://m.media-amazon.com/images/I/511CQy-jmXL._AC_UL320_.jpg,nan
Sponsored Ad – CP2020 Cooling Pad - Adjustable RGB Gaming Laptop Cooling Pad - with Dual Fans - Up to 14 Inch - 2 x USB | MT-CP2020,699,https://m.media-amazon.com/images/I/81vrwX6l77L._AC_UL320_.jpg,nan
Sponsored Ad – Forev FV-209 Computer Gaming Speakers - 3W*2 RGB Lights Wired Stereo Mini - 3.5mm Jack + 2.0 USB Powered For Gaming/Movie/Music/PC/Laptop,395,https://m.media-amazon.com/images/I/61qlYQKQG+L._AC_UL320_.jpg,4.7
"Sponsored Ad – MOTOSPEED RGB Gaming Mouse Pad -LED Lighting Effects,Wired,Hard Surface Gamer Mouse Mat for Laptop Computer PC Games(13.8X9.8 Inch)",499,https://m.media-amazon.com/images/I/41arQttLquL._AC_UL320_.jpg,4.5
"Sponsored Ad – AULA S80 Programmable Gaming Mouse, 7200 DPI Wired PC Mouse, 12 Rainbow RGB Backlit Wired Mac Gaming Mouse, Multi-Device Computer Mouse for PC/Mac Laptop, Tablet, Desktop",575,https://m.media-amazon.com/images/I/61xRgU5gZpL._AC_UL320_.jpg,3.0
"Sponsored Ad – Business Smart Waterproof Sleeve 15.6"" with Soft Interior for Dell, Alienware, MSI Gaming, HP, Apple MacBook, Microsoft Surface Laptop, Book, Huawei, Lenovo, ASUS, Samsung (Grey)",799,https://m.media-amazon.com/images/I/81r2aaH3k0L._AC_UL320_.jpg,nan
